ORIGEM DOS DADOS;CÓDIGO OBRA;PROCESSO;SECRETARIA CONTRATANTE;SECRETARIA RESPONSÁVEL;SUBPREFEITURA;REGIÃO;DISTRITO;LOCAL;LATITUDE;LONGITUDE;NOME DA OBRA;ESCOPO DO CONTRATO;CATEGORIA;SUBCATEGORIA;CLASSIFICAÇÃO;STATUS;FONTES DE RECURSO;DT INÍCIO DA OBRA;DT TÉRMINO DA OBRA;NÚMERO DO CONTRATO;EMPRESA CONTRATADA;CNPJ CONTRATADA;PROGRAMA DE METAS;VALOR INICIAL DO CONTRATO;VALOR DE ADITAMENTOS;VALOR TOTAL DO CONTRATO;VALOR EXECUTADO DO CONTRATO;VALOR DE REAJUSTES;VALOR DE INVESTIMENTOS
SIURB;C0032201;6022202100018900;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;BT;OESTE;Raposo Tavares;Rua Deoclicio Alves de Souza x Avenida Doutor Silvio Margarido;-23.584652;-46.770489;Recomposição das margens do Córrego Jaguarezinho;CONTRATAÇÃO EM CARÁTER EMERGENCIAL, PARA RECOMPOSIÇÃO DAS MARGENS DO CÓRREGO JAGUAREZINHO, LOCALIZADO JUNTO À RUA DEOCLICIO ALVES DE SOUZA E AVENIDA DOUTOR SILVIO MARGARIDO E RECUPERAÇÃO DAS PISTAS COM SOLAPAMENTO E DA TRAVESSIA DE ÁGUAS EM GALERIA MOLDADA E TUBULAÇÃO DE CONCRETO SOB A RUA ENGENHEIRO ROBERTO FRADE MONTE - SUBPREFEITURA BUTANTÃ;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;03-Transferências Estaduais\08-Tesouro Municipal - Recursos Vinculados;03/08/2021;30/01/2022;003/SIURB/22;TALUDE CONSTRUÇÕES SA;	14914786000167;	;R$8.833.766,17;R$0,00;R$8.833.766,17;R$8.833.766,17;R$0,00;R$8.833.766,17
SIURB;C0052201;6022202100027917;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SB;LESTE;Sapopemba;Av. Marginal do Oratório, 2011;-23.6167;-46.5181;OBRAS DE RECUPERAÇÃO DOS MUROS DE GABIÕES ÀS MARGENS DO CÓRREGO MORRO GRANDE;Contratação de empresa para obra emergencial de recuperação dos muros de gabiões às margens do córrego Morro Grande, no trecho da Avenida Marginal do Oratório nº 6557, Jardim Ângela.;Drenagem;CONSTRUÇÃO;Margens de córrego;CONCLUÍDA;03-Transferências Estaduais;24/09/2021;22/03/2022;005/SIURB/22;FBF CONSTRUCOES E SERVICOS EIRELI;	02542939000103;	;R$3.450.438,59;R$0,00;R$3.450.438,59;R$3.430.857,39;R$0,00;R$3.430.857,39
SIURB;C0061601;7910201700007048;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;VM;SUL;MOEMA;Av Santo Amaro, 1775;-23.6000001;-46.6738001;REQUALIFICAÇÃO URBANA SANTO AMARO;Elaboração dos projetos executivos e execução de obras de requalificação da Av. Santo Amaro / Reforma do corredor de ônibus Santo Amaro - Trecho Av. Presidente Juscelino Kubitschek até Av. dos Bandeirantes;Vias e Logradouros;CONSTRUÇÃO;Requalificação Urbana;EM ANDAMENTO;08-PMSP-SMDU/OUC FARIA LIMA - CEPAC -\08-PMSP-SMDU/OUC FARIA LIMA - CEPAC -\08-Tesouro Municipal - Recursos Vinculados;19/05/2016;01/10/2024;006/SIURB/16;CONSÓRCIO COMPEC / FBS;	24634870000180;		;R$58.699.504,35;R$18.869.860,08;R$77.569.364,43;R$25.374.161,07;R$28.333.529,69;R$53.707.690,76
SIURB;C0062201;6022202100042061;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IQ;LESTE;ITAQUERA;Avenida André Cavalcanti - Trecho da Rua Catarina Lopes à Rua Noventa e Sete;-23.528480;-46.460465;Recuperação das margens do Córrego Jaquitiba, canalização parcial, construção de calçadas, guias, sarjetas e barreiras de proteção;OBRA EMERGENCIAL PARA REALIZAÇÃO DE RECUPERAÇÃO DAS MARGENS DO CÓRREGO JAQUITIBA;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;03-Transferências Estaduais;03/12/2021;01/06/2022;006/SIURB/22;TIRANTE CONSTRUÇÕES LTDA - EPP;	16608263000118;	;R$12.121.157,81;R$0,00;R$12.121.157,81;R$10.955.114,82;R$0,00;R$10.955.114,82
SIURB;C0072201;6022202100033950;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;CL;SUL;Campo Limpo;R. Carlos Magalhães, 100 - Parque Reboucas, São Paulo - SP, 05735-030, Brasil;-23.6293;-46.7494;OBRAS DE CONSTRUÇÃO DE TALUDE NA RUA CLODOMIRO DE OLIVEIRA - MORRO DA LUA;CONTRATAÇÃO EM CARÁTER EMERGENCIAL, PARA CONTENÇÃO DE TALUDE NA RUA CLODOMIRO DE OLIVEIRA – MORRO DA LUA – SUBPREFEITURA CAMPO LIMPO.;Outros;CONSTRUÇÃO;Contenção de talude;CONCLUÍDA;00-Tesouro Municipal\08-Tesouro Municipal - Recursos Vinculados;26/10/2021;23/04/2022;007/SIURB/22;ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA;	66748955000130;	;R$12.525.097,06;R$0,00;R$12.525.097,06;R$12.517.323,45;R$0,00;R$12.517.323,45
SIURB;C0082101;6022202000028113;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;AF;LESTE;CARRÃO;Avenida Conselheiro Carrão, 1670;-23.545338;-46.544777;Substituição do pontilhão existente sobre o Córrego Rapadura;CONTRATAÇÃO EM REGIME DE EMERGÊNCIA DA SUBSTITUIÇÃO DO PONTILHÃO EXISTENTE SOBRE O CÓRREGO RAPADURA NA TRAVESSIA DA AVENIDA CONSELHEIRO CARRÃO ALTURA DO N 1670, COM REVESTIMENTO DO FUNDO DA CALHA E ESTABILIZAÇÃO DAS MARGENS ESQUERDA E DIREITA NOS TRECHOS A MONTANTE E JUSANTE COM REVESTIMENTO DE FUNDO, DE FORMA A DIRECIONAR O FLUXO ADEQUADAMENTE PROTEGENDO OS IMÓVEIS LINDEIROS DEVIDO AOS EXÍGUOS ESPAÇOS EXISTENTE;Vias e Logradouros;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;03-Transferências Estaduais;22/10/2020;20/04/2021;008/SIURB/21;TALUDE CONSTRUÇÕES SA;	14914786000167;	37;R$5.747.840,01;R$0,00;R$5.747.840,01;R$5.534.703,56;R$0,00;R$5.534.703,56
SIURB;C0102201;6022202100042037;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;MB;SUL;Jardim Ângela;R. Luz Soriano, 231;-23.6941;-46.7835;OBRA EM ÁREA DE RISCO COM SERVIÇOS DE DRENAGEM DE ÁGUAS PLUVIAIS COM ESTABILIZAÇÃO DO TALUDE E SERVIÇOS COMPLEMENTARES NA RUA LUZ SORIANO, PARQUE NOVO SANTO AMARO;OBRA EMERGENCIAL EM ÁREA COM SERVIÇOS DE DRENAGEM DE ÁGUAS PLUVIAIS BEM COMO ESTABILIZAÇÃO DO TALUDE E SERVIÇOS COMPLEMENTARES NA RUA LUZ SORIANO;Drenagem;CONSTRUÇÃO;Galerias;CONCLUÍDA;00-Tesouro Municipal;03/12/2021;31/05/2022;010/SIURB/22;MATHESIS ENGENHARIA & CONSTRUCAO LIMITADA;	03302648000100;	;R$9.817.898,70;R$0,00;R$9.817.898,70;R$9.473.847,62;R$0,00;R$9.473.847,62
SIURB;C0112101;6022202000029195;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SA;SUL;Santo Amaro;Marginal Pinheiros - Ao lado da Estação Morumbi - Linha 17 Ouro;-23.621358;-46.701266;Recuperação da canalização de águas pluviais;EXECUÇÃO DE OBRA DE EMERGÊNCIA PARA RECUPERAÇÃO DE GALERIA DE ÁGUAS PLUVIAIS, SOB A VIA MARGINAL PINHEIROS PISTA EXPRESSA - SENTIDO OSASCO, PRÓXIMO A ESTAÇÃO MORUMBI LINHA 17 OURO, PELO MÉTODO NÃO DESTRUTIVO;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;03-Transferências Estaduais;03/11/2020;02/05/2021;011/SIURB/21;CONSBEM CONSTRUÇÕES E COMÉRCIO LTDA;	61776399000191;	;R$1.077.194,85;R$0,00;R$1.077.194,85;R$1.065.856,07;R$0,00;R$1.065.856,07
SIURB;C0112201;6022202100040999;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;G ;LESTE;Guaianases;R. Particular Dois, 59 - Conj. Hab. Inacio M, São Paulo - SP, 05868-752, Brasil;-23.5683;-46.3997;OBRAS DE CONTENÇÃO DAS MARGENS DO CÓRREGO RIBEIRÃO GUARATIBA, LOCALIZADO NA AV. HIGINO NEVES;INTERVENÇÃO, EM CARÁTER EMERGENCIAL, PARA REALIZAÇÃO DE OBRAS DE CONTENÇÃO DA MARGEM DO CÓRREGO RIBEIRÃO GUARATIBA, LOCALIZADO NA AVENIDA HIGINO NEVES – SUBPREFEITURA GUAIANASES.;Outros;CONSTRUÇÃO;Margens de córrego;CONCLUÍDA;00-Tesouro Municipal;30/11/2021;28/05/2022;011/SIURB/22;CONSTRUTORA LETTIERI CORDARO LTDA.;	07879965000145;	;R$11.818.683,02;R$0,00;R$11.818.683,02;R$11.779.799,69;R$0,00;R$11.779.799,69
SIURB;C0122201;6022202100046750;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;EM;LESTE;ERMELINO MATARAZZO;Rua Duas Ilhas e Rua dos Anjos;-23.491700;-46.498181;Contenção de talude e recomposição das margens do córrego;CONTRATAÇÃO EMERGENCIAL PARA CONTENÇÃO DE TALUDE E RECOMPOSIÇÃO DAS MARGENS DO CÓRREGO - RUA DUAS ILHAS E RUA DOS ANJOS;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;00-Tesouro Municipal;30/12/2021;28/06/2022;012/SIURB/22;FP PROJETOS EMPREENDIMENTOS EIRELI;	15009784000196;	;R$10.863.069,52;R$0,00;R$10.863.069,52;R$10.832.195,12;R$0,00;R$10.832.195,12
